,imagelink
305,http://www.dermnet.com/dn2/allJPGThumb3/grovers-disease-1.jpg
306,http://www.dermnet.com/dn2/allJPGThumb3/herpes-gestationis-1.jpg
307,http://www.dermnet.com/dn2/allJPGThumb3/localized-pemphigoid-1.jpg
308,http://www.dermnet.com/dn2/allJPGThumb3/pemphigus-1.jpg
309,http://www.dermnet.com/dn2/allJPGThumb3/pemphigus-foliaceous-1.jpg
310,http://www.dermnet.com/dn2/allJPGThumb3/acne-closed-comedo-002.jpg
311,http://www.dermnet.com/dn2/allJPGThumb3/acne-cystic-1.jpg
312,http://www.dermnet.com/dn2/allJPGThumb3/acne-excoriated-1.jpg
313,http://www.dermnet.com/dn2/allJPGThumb3/acne-histology-3.jpg
314,http://www.dermnet.com/dn2/allJPGThumb3/acne-infantile-1.jpg
315,http://www.dermnet.com/dn2/allJPGThumb3/acne-mechanica-1.jpg
316,http://www.dermnet.com/dn2/allJPGThumb3/acne-open-comedo-1.jpg
317,http://www.dermnet.com/dn2/allJPGThumb3/acne-primary-lesion-2.jpg
318,http://www.dermnet.com/dn2/allJPGThumb3/07Acne081101.jpg
319,http://www.dermnet.com/dn2/allJPGThumb3/07AcnePittedScars.jpg
320,http://www.dermnet.com/dn2/allJPGThumb3/gram-negative-folliculitis-1.jpg
321,http://www.dermnet.com/dn2/allJPGThumb3/hidradenitis-suppurativa-1.jpg
322,http://www.dermnet.com/dn2/allJPGThumb3/hyperhidrosis-1.jpg
323,http://www.dermnet.com/dn2/allJPGThumb3/milia-1.jpg
